UniProt_Accession_for_Protein_Group	UniProt_ID_for_Protein_Group	UniProt_Protein_Description	Quantified_Peptides_Experiment_1	Quantified_Peptides_Experiment_1.1	Quantified_PSMs_(Rep_1)_Experiment_1	Quantified_PSMs_(Rep_1)_Experiment_1.1	126	127N	127C	128N	128C	129N	129C	130N	130C	131	126.1	127N.1	127C.1	128N.1	128C.1	129N.1	129C.1	130N.1	130C.1	131.1	phenoDisco_Input	phenoDisco_Output	Curated_phenoDisco_Output	SVM_marker_set	SVM_classification	SVM_score	SVM_classification_(top_quartile)	Final_Localization_Assignment	First_localization_evidence?	Curated_Organelles	Cytoskeletal_Components	Trafficking_Proteins	Protein_Complexes	Signaling_Cascades	Oct4_Interactome	Nanog_Interactome	Sox2_Interactome	Cell_Surface_Proteins	uniprot_id	isoforms	max_fraction	min_difference	mean_expression	length	classified	low_fraction	AS	temp_binary
P09411	PGK1_MOUSE	Phosphoglycerate kinase 1 OS=Mus musculus GN=Pgk1 PE=1 SV=4 - [PGK1_MOUSE]	21	20	41	49	0.55	0.112	0.119	0.053	0.072	0.039	0.014	0.016	0.011	0.014	0.46	0.096	0.113	0.086	0.1	0.054	0.032	0.015	0.023	0.021	unknown	Phenotype 5	Cytosol	Cytosol	Cytosol	1.0	Cytosol	Cytosol	Y										P09411	1	1.0		16.6809422637	417	True	False	False	False
P05201	AATC_MOUSE	Aspartate aminotransferase, cytoplasmic OS=Mus musculus GN=Got1 PE=1 SV=3 - [AATC_MOUSE]	21	21	39	41	0.555	0.115	0.141	0.052	0.076	0.036	0.012	0.008	0.0	0.004	0.477	0.1	0.131	0.095	0.097	0.055	0.027	0.008	0.005	0.004	unknown	Phenotype 5	Cytosol	Cytosol	Cytosol	1.0	Cytosol	Cytosol	N										P05201	1	1.0		60.4984421905	413	True	False	False	False
P47911	RL6_MOUSE	60S ribosomal protein L6 OS=Mus musculus GN=Rpl6 PE=1 SV=3 - [RL6_MOUSE]	21	20	39	57	0.195	0.063	0.062	0.03	0.074	0.111	0.068	0.109	0.088	0.201	0.115	0.049	0.057	0.051	0.084	0.09	0.103	0.053	0.078	0.319	60S Ribosome	60S Ribosome	60S Ribosome	60S Ribosome	60S Ribosome	1.0	60S Ribosome	60S Ribosome	N										P47911	1	1.0		174.76671422	296	True	False	False	False
Q8BFR5	EFTU_MOUSE	Elongation factor Tu, mitochondrial OS=Mus musculus GN=Tufm PE=1 SV=1 - [EFTU_MOUSE]	21	20	39	36	0.001	0.015	0.017	0.014	0.034	0.076	0.181	0.355	0.01	0.296	0.003	0.012	0.014	0.018	0.03	0.099	0.405	0.251	0.023	0.145	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q8BFR5	2	0.95437611686	0.0478049296647	126.466947893	452	True	False	False	False
Q8R3B1	PLCD1_MOUSE	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 OS=Mus musculus GN=Plcd1 PE=2 SV=2 - [PLCD1_MOUSE]	21	24	39	38	0.015	0.33	0.21	0.12	0.155	0.098	0.037	0.016	0.009	0.008	0.019	0.227	0.153	0.166	0.178	0.146	0.078	0.018	0.01	0.005	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.89	Plasma membrane	Plasma membrane	N										Q8R3B1	1	1.0		6.1211086105	756	True	False	False	False
Q9CZD3	SYG_MOUSE	Glycine--tRNA ligase OS=Mus musculus GN=Gars PE=1 SV=1 - [SYG_MOUSE]	21	21	39	34	0.431	0.101	0.092	0.043	0.06	0.05	0.062	0.088	0.005	0.067	0.367	0.078	0.108	0.086	0.085	0.065	0.097	0.067	0.012	0.035	unknown	unknown	unknown	unknown	Cytosol	0.375	unclassified	unclassified	N										Q9CZD3	1	1.0		111.986743953	729	False	False	False	False
Q9D6Z1	NOP56_MOUSE	Nucleolar protein 56 OS=Mus musculus GN=Nop56 PE=1 SV=2 - [NOP56_MOUSE]	21	19	39	33	0.186	0.015	0.03	0.009	0.017	0.034	0.051	0.123	0.396	0.14	0.115	0.016	0.031	0.035	0.044	0.048	0.051	0.042	0.414	0.205	unknown	Phenotype 2	Nucleus - Non-chromatin	Nucleus - Non-chromatin	Nucleus - Non-chromatin	1.0	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										Q9D6Z1	1	1.0		131.575758395	580	True	False	False	False
O35857	TIM44_MOUSE	Mitochondrial import inner membrane translocase subunit TIM44 OS=Mus musculus GN=Timm44 PE=2 SV=2 - [TIM44_MOUSE]	21	19	38	30	0.0	0.016	0.015	0.01	0.032	0.088	0.271	0.303	0.015	0.25	0.001	0.012	0.013	0.021	0.031	0.092	0.392	0.279	0.023	0.136	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										O35857	1	1.0		36.109062168	452	True	False	False	False
P51660	DHB4_MOUSE	Peroxisomal multifunctional enzyme type 2 OS=Mus musculus GN=Hsd17b4 PE=1 SV=3 - [DHB4_MOUSE]	21	23	38	48	0.0	0.012	0.015	0.009	0.034	0.091	0.109	0.376	0.039	0.314	0.004	0.027	0.036	0.044	0.067	0.125	0.241	0.186	0.055	0.216	unknown	Phenotype 7	Peroxisome	Peroxisome	Peroxisome	1.0	Peroxisome	Peroxisome	N										P51660	1	1.0		13.1677182917	735	True	False	False	False
Q80Y84-2	KDM5B_MOUSE	Isoform 2 of Lysine-specific demethylase 5B OS=Mus musculus GN=Kdm5b - [KDM5B_MOUSE]	21	15	36	16	0.019	0.0	0.003	0.0	0.005	0.032	0.124	0.305	0.235	0.277	0.029	0.008	0.008	0.012	0.015	0.043	0.103	0.227	0.442	0.114	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.915	Nucleus - Chromatin	Nucleus - Chromatin	N										Q80Y84	1	1.0		102.192685979	1544	True	False	False	False
Q8R2Y2	MUC18_MOUSE	Cell surface glycoprotein MUC18 OS=Mus musculus GN=Mcam PE=1 SV=1 - [MUC18_MOUSE]	21	18	36	33	0.003	0.323	0.192	0.116	0.162	0.101	0.044	0.031	0.004	0.023	0.004	0.205	0.165	0.173	0.171	0.159	0.087	0.026	0.005	0.005	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	1.0	Plasma membrane	Plasma membrane	N										Q8R2Y2	1	1.0		35.395168958	648	True	False	False	False
Q922B2	SYDC_MOUSE	Aspartate--tRNA ligase, cytoplasmic OS=Mus musculus GN=Dars PE=2 SV=2 - [SYDC_MOUSE]	21	22	36	31	0.451	0.055	0.064	0.025	0.042	0.043	0.036	0.113	0.065	0.106	0.337	0.075	0.077	0.063	0.084	0.065	0.062	0.043	0.087	0.106	unknown	unknown	unknown	unknown	Proteasome	0.273	unclassified	unclassified	Y								Prey		Q922B2	1	0.99952270007		111.692713327	501	False	False	False	False
P40142	TKT_MOUSE	Transketolase OS=Mus musculus GN=Tkt PE=1 SV=1 - [TKT_MOUSE]	21	18	35	31	0.622	0.057	0.082	0.023	0.034	0.026	0.021	0.055	0.015	0.064	0.631	0.051	0.083	0.048	0.046	0.036	0.018	0.017	0.024	0.046	unknown	unknown	unknown	unknown	Proteasome	0.567	unclassified	unclassified	N									High Confidence	P40142	1	1.0		138.022592758	623	False	False	False	False
P43406	ITAV_MOUSE	Integrin alpha-V OS=Mus musculus GN=Itgav PE=1 SV=2 - [ITAV_MOUSE]	21	23	35	33	0.0	0.193	0.152	0.111	0.21	0.153	0.074	0.06	0.0	0.047	0.002	0.127	0.134	0.192	0.207	0.202	0.077	0.042	0.007	0.01	Plasma membrane	unknown	Plasma membrane	Plasma membrane	Plasma membrane	1.0	Plasma membrane	Plasma membrane	N										P43406	1	1.0		4.48370408375	1044	True	False	False	False
Q9JLB0-2	MPP6_MOUSE	Isoform Alpha of MAGUK p55 subfamily member 6 OS=Mus musculus GN=Mpp6 - [MPP6_MOUSE]	21	19	35	31	0.01	0.324	0.2	0.109	0.13	0.109	0.051	0.035	0.01	0.022	0.011	0.194	0.164	0.164	0.17	0.143	0.095	0.026	0.013	0.02	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.846	Plasma membrane	Plasma membrane	N										Q9JLB0	3	0.922678413211	0.0436309359564	31.1768146725	553	True	False	False	False
P58281-2	OPA1_MOUSE	Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial OS=Mus musculus GN=Opa1 - [OPA1_MOUSE]	21	32	34	43	0.0	0.013	0.017	0.009	0.03	0.109	0.309	0.262	0.021	0.23	0.002	0.012	0.016	0.023	0.035	0.124	0.382	0.245	0.024	0.137	unknown	Mitochondrion	unknown	unknown	Mitochondrion	0.981	Mitochondrion	Mitochondrion	N									High Confidence	P58281	2	0.564722942008	0.770779838417	15.9264221023	960	True	True	True	False
P37040	NCPR_MOUSE	NADPH--cytochrome P450 reductase OS=Mus musculus GN=Por PE=1 SV=2 - [NCPR_MOUSE]	21	23	33	42	0.0	0.107	0.09	0.065	0.168	0.209	0.089	0.139	0.006	0.127	0.003	0.08	0.109	0.151	0.199	0.231	0.125	0.073	0.01	0.019	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										P37040	1	1.0		10.916008569	678	True	False	False	False
Q60598	SRC8_MOUSE	Src substrate cortactin OS=Mus musculus GN=Cttn PE=1 SV=2 - [SRC8_MOUSE]	21	16	33	30	0.166	0.233	0.136	0.082	0.108	0.081	0.035	0.042	0.074	0.044	0.149	0.122	0.135	0.126	0.112	0.098	0.047	0.022	0.147	0.042	unknown	unknown	unknown	unknown	Actin cytoskeleton	0.284	unclassified	unclassified	N										Q60598	2	0.694425485671	0.440039313986	41.278384772	546	False	True	True	False
Q76MZ3	2AAA_MOUSE	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Mus musculus GN=Ppp2r1a PE=1 SV=3 - [2AAA_MOUSE]	21	17	33	36	0.372	0.137	0.111	0.062	0.1	0.069	0.029	0.038	0.044	0.037	0.283	0.12	0.119	0.108	0.127	0.087	0.057	0.025	0.047	0.026	unknown	unknown	unknown	unknown	Cytosol	0.63	unclassified	Cytosol	N							Prey			Q76MZ3	1	1.0		96.8915508605	589	True	False	False	False
Q8R1B4	EIF3C_MOUSE	Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus GN=Eif3c PE=1 SV=1 - [EIF3C_MOUSE]	21	21	32	27	0.606	0.041	0.066	0.019	0.036	0.036	0.023	0.038	0.038	0.097	0.396	0.06	0.078	0.05	0.059	0.047	0.041	0.025	0.045	0.2	unknown	unknown	unknown	unknown	Proteasome	0.296	unclassified	unclassified	Y				eIF3 complex						Q8R1B4	1	1.0		109.450707553	911	False	False	False	False
Q3UQ84	SYTM_MOUSE	Threonine--tRNA ligase, mitochondrial OS=Mus musculus GN=Tars2 PE=2 SV=1 - [SYTM_MOUSE]	21	19	31	22	0.005	0.019	0.021	0.016	0.04	0.099	0.207	0.308	0.022	0.263	0.006	0.018	0.019	0.025	0.033	0.091	0.379	0.247	0.028	0.154	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N				Mitochondrial tRNA ligase						Q3UQ84	4	0.613587112415	0.36922954144	31.3735436672	723	True	True	True	False
Q8BWW9	PKN2_MOUSE	Serine/threonine-protein kinase N2 OS=Mus musculus GN=Pkn2 PE=1 SV=3 - [PKN2_MOUSE]	21	23	31	31	0.033	0.289	0.177	0.109	0.157	0.112	0.047	0.039	0.007	0.029	0.027	0.216	0.161	0.166	0.157	0.129	0.067	0.028	0.019	0.031	unknown	unknown	unknown	unknown	Plasma membrane	0.764	unclassified	Plasma membrane	N										Q8BWW9	1	1.0		22.1724727175	983	True	False	False	False
P97496-2	SMRC1_MOUSE	Isoform 2 of SWI/SNF complex subunit SMARCC1 OS=Mus musculus GN=Smarcc1 - [SMRC1_MOUSE]	21	19	30	29	0.093	0.007	0.011	0.003	0.01	0.029	0.125	0.253	0.23	0.24	0.108	0.012	0.018	0.013	0.017	0.034	0.086	0.137	0.44	0.135	unknown	Phenotype 1	unknown	unknown	Nucleus - Chromatin	0.899	Nucleus - Chromatin	Nucleus - Chromatin	N				BAF complex		Prey				P97496	1	1.0		69.450408224	1104	True	False	False	False
Q5PSV9	MDC1_MOUSE	Mediator of DNA damage checkpoint protein 1 OS=Mus musculus GN=Mdc1 PE=1 SV=1 - [MDC1_MOUSE]	21	12	29	12	0.03	0.0	0.006	0.0	0.008	0.029	0.097	0.305	0.251	0.274	0.062	0.006	0.009	0.007	0.014	0.039	0.1	0.198	0.49	0.075	unknown	Phenotype 1	Nucleus - Chromatin	Nucleus - Chromatin	Nucleus - Chromatin	1.0	Nucleus - Chromatin	Nucleus - Chromatin	N										Q5PSV9	1	1.0		13.7920901905	1707	True	False	False	False
Q8CFI7	RPB2_MOUSE	DNA-directed RNA polymerase II subunit RPB2 OS=Mus musculus GN=Polr2b PE=2 SV=2 - [RPB2_MOUSE]	21	18	28	20	0.263	0.03	0.039	0.012	0.021	0.026	0.056	0.167	0.213	0.172	0.28	0.04	0.053	0.043	0.039	0.043	0.051	0.067	0.259	0.124	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.483	unclassified	unclassified	N							Prey			Q8CFI7	1	1.0		66.795344486	1174	False	False	False	False
Q9WV91	FPRP_MOUSE	Prostaglandin F2 receptor negative regulator OS=Mus musculus GN=Ptgfrn PE=1 SV=2 - [FPRP_MOUSE]	21	16	27	20	0.004	0.239	0.186	0.137	0.223	0.103	0.05	0.031	0.002	0.024	0.004	0.192	0.141	0.162	0.228	0.142	0.089	0.022	0.011	0.008	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.872	Plasma membrane	Plasma membrane	N										Q9WV91	1	1.0		15.892599243	879	True	False	False	False
Q65Z40	WAPL_MOUSE	Wings apart-like protein homolog OS=Mus musculus GN=Wapal PE=1 SV=2 - [WAPL_MOUSE]	21	20	25	22	0.075	0.002	0.008	0.0	0.01	0.033	0.124	0.279	0.21	0.258	0.101	0.011	0.018	0.014	0.017	0.039	0.092	0.171	0.412	0.126	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.925	Nucleus - Chromatin	Nucleus - Chromatin	N				Cohesin complex						Q65Z40	1	1.0		84.1168650325	1200	True	False	False	False
A2AN08-3	UBR4_MOUSE	Isoform 3 of E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 - [UBR4_MOUSE]	21	60	23	68	0.484	0.136	0.1	0.038	0.068	0.042	0.035	0.04	0.009	0.049	0.344	0.106	0.113	0.099	0.093	0.078	0.038	0.024	0.018	0.087	unknown	unknown	unknown	unknown	Cytosol	0.452	unclassified	unclassified	N										A2AN08	1	1.0		16.4847302952	5180	False	False	False	False
P14211	CALR_MOUSE	Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1 - [CALR_MOUSE]	20	21	73	91	0.025	0.058	0.066	0.053	0.137	0.293	0.142	0.12	0.003	0.103	0.025	0.049	0.095	0.121	0.179	0.277	0.145	0.084	0.007	0.017	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N				Glucosidase II complex						P14211	1	1.0		263.919304757	416	True	False	False	False
P05064	ALDOA_MOUSE	Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2 - [ALDOA_MOUSE]	20	23	57	69	0.384	0.185	0.145	0.07	0.08	0.061	0.024	0.023	0.013	0.016	0.346	0.117	0.136	0.108	0.11	0.074	0.039	0.013	0.04	0.015	unknown	Phenotype 5	Cytosol	Cytosol	Cytosol	1.0	Cytosol	Cytosol	Y										P05064	3	0.775663779097	0.220439538664	652.865663831	364	True	True	True	False
Q61207	SAP_MOUSE	Sulfated glycoprotein 1 OS=Mus musculus GN=Psap PE=1 SV=2 - [SAP_MOUSE]	20	21	56	64	0.002	0.066	0.126	0.148	0.314	0.207	0.062	0.046	0.002	0.028	0.004	0.065	0.134	0.18	0.289	0.213	0.075	0.031	0.002	0.008	unknown	Phenotype 3	unknown	unknown	Lysosome	0.773	Lysosome	Lysosome	N										Q61207	6	0.330697862445	0.652242776629	78.8287746352	557	True	True	True	False
P05202	AATM_MOUSE	Aspartate aminotransferase, mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1 - [AATM_MOUSE]	20	19	48	57	0.0	0.014	0.018	0.013	0.038	0.101	0.265	0.292	0.015	0.244	0.004	0.01	0.015	0.021	0.028	0.114	0.355	0.312	0.019	0.123	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										P05202	1	1.0		40.323429931	430	True	False	False	False
Q61553	FSCN1_MOUSE	Fascin OS=Mus musculus GN=Fscn1 PE=1 SV=4 - [FSCN1_MOUSE]	20	20	48	59	0.148	0.311	0.194	0.118	0.148	0.054	0.016	0.006	0.002	0.003	0.19	0.178	0.163	0.158	0.157	0.087	0.035	0.012	0.01	0.009	unknown	unknown	unknown	unknown	Actin cytoskeleton	0.669	Actin cytoskeleton	Actin cytoskeleton	N										Q61553	1	1.0		136.420188125	493	True	False	False	False
P62908	RS3_MOUSE	40S ribosomal protein S3 OS=Mus musculus GN=Rps3 PE=1 SV=1 - [RS3_MOUSE]	20	17	43	38	0.331	0.067	0.076	0.03	0.058	0.071	0.06	0.077	0.067	0.162	0.229	0.044	0.064	0.042	0.051	0.073	0.059	0.037	0.067	0.334	40S Ribosome	40S Ribosome	40S Ribosome	40S Ribosome	40S Ribosome	1.0	40S Ribosome	40S Ribosome	N										P62908	1	1.0		544.226582275	243	True	False	False	False
Q921M3	SF3B3_MOUSE	Splicing factor 3B subunit 3 OS=Mus musculus GN=Sf3b3 PE=2 SV=1 - [SF3B3_MOUSE]	20	22	40	35	0.264	0.016	0.031	0.009	0.016	0.019	0.026	0.084	0.314	0.22	0.161	0.02	0.027	0.019	0.023	0.024	0.032	0.029	0.275	0.392	unknown	Phenotype 2	unknown	unknown	Nucleus - Non-chromatin	0.861	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N				Spliceosome						Q921M3	1	1.0		71.794038705	1217	True	False	False	False
P06745	G6PI_MOUSE	Glucose-6-phosphate isomerase OS=Mus musculus GN=Gpi PE=1 SV=4 - [G6PI_MOUSE]	20	21	39	39	0.542	0.133	0.127	0.059	0.062	0.038	0.013	0.009	0.006	0.012	0.462	0.094	0.124	0.103	0.094	0.058	0.028	0.011	0.012	0.014	unknown	Phenotype 5	unknown	unknown	Cytosol	0.906	Cytosol	Cytosol	N										P06745	1	1.0		80.470407894	558	True	False	False	False
Q8BSY0	ASPH_MOUSE	Aspartyl/asparaginyl beta-hydroxylase OS=Mus musculus GN=Asph PE=2 SV=1 - [ASPH_MOUSE]	20	18	38	32	0.0	0.036	0.048	0.03	0.094	0.241	0.17	0.188	0.029	0.165	0.004	0.044	0.072	0.101	0.158	0.244	0.188	0.113	0.044	0.033	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q8BSY0	9	0.209385228278	0.981862701558	12.4230995634	741	True	True	True	False
P55012	S12A2_MOUSE	Solute carrier family 12 member 2 OS=Mus musculus GN=Slc12a2 PE=1 SV=2 - [S12A2_MOUSE]	20	23	37	40	0.005	0.233	0.177	0.104	0.182	0.14	0.058	0.056	0.006	0.039	0.003	0.162	0.136	0.154	0.185	0.184	0.127	0.034	0.008	0.007	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.822	Plasma membrane	Plasma membrane	N										P55012	1	1.0		21.333707879	1205	True	False	False	False
Q02248	CTNB1_MOUSE	Catenin beta-1 OS=Mus musculus GN=Ctnnb1 PE=1 SV=1 - [CTNB1_MOUSE]	20	23	37	43	0.003	0.277	0.182	0.115	0.204	0.108	0.039	0.039	0.007	0.026	0.007	0.207	0.14	0.157	0.202	0.144	0.1	0.023	0.012	0.008	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	1.0	Plasma membrane	Plasma membrane	N				Adherens junction	Canonical Wnt					Q02248	2	0.891843023566	0.121273557763	80.2914862367	781	True	True	True	False
Q91YT0	NDUV1_MOUSE	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Mus musculus GN=Ndufv1 PE=1 SV=1 - [NDUV1_MOUSE]	20	14	37	30	0.0	0.017	0.02	0.014	0.034	0.081	0.187	0.31	0.072	0.265	0.001	0.009	0.012	0.017	0.028	0.095	0.326	0.296	0.09	0.126	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N				NADH dehydrogenase					Putative	Q91YT0	1	1.0		54.4969889335	464	True	False	False	False
Q9WUA2	SYFB_MOUSE	Phenylalanine--tRNA ligase beta subunit OS=Mus musculus GN=Farsb PE=2 SV=2 - [SYFB_MOUSE]	20	21	37	29	0.241	0.055	0.056	0.023	0.052	0.065	0.068	0.126	0.097	0.216	0.17	0.045	0.059	0.053	0.07	0.072	0.075	0.055	0.087	0.312	unknown	unknown	unknown	unknown	40S Ribosome	0.475	unclassified	unclassified	Y										Q9WUA2	1	1.0		78.379282251	589	False	False	False	False
Q8CGC6	RBM28_MOUSE	RNA-binding protein 28 OS=Mus musculus GN=Rbm28 PE=1 SV=4 - [RBM28_MOUSE]	20	21	36	34	0.155	0.008	0.021	0.007	0.019	0.028	0.044	0.151	0.367	0.2	0.125	0.017	0.032	0.035	0.042	0.055	0.047	0.042	0.296	0.31	unknown	Phenotype 2	Nucleus - Non-chromatin	Nucleus - Non-chromatin	Nucleus - Non-chromatin	1.0	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										Q8CGC6	1	1.0		34.0873238475	750	True	False	False	False
Q99JB2	STML2_MOUSE	Stomatin-like protein 2 OS=Mus musculus GN=Stoml2 PE=1 SV=1 - [STML2_MOUSE]	20	14	36	29	0.0	0.014	0.013	0.008	0.029	0.083	0.205	0.308	0.075	0.265	0.0	0.009	0.012	0.016	0.027	0.082	0.4	0.228	0.097	0.13	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q99JB2	1	1.0		77.266277899	353	True	False	False	False
Q9JIX8-4	ACINU_MOUSE	Isoform 4 of Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus GN=Acin1 - [ACINU_MOUSE]	20	22	36	34	0.157	0.005	0.018	0.001	0.01	0.021	0.052	0.15	0.409	0.177	0.097	0.008	0.018	0.013	0.02	0.029	0.045	0.049	0.428	0.294	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.924	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										Q9JIX8	6	0.283851459753	0.854062424648	26.0005011465	1338	True	True	True	False
Q91YP2	NEUL_MOUSE	Neurolysin, mitochondrial OS=Mus musculus GN=Nln PE=2 SV=1 - [NEUL_MOUSE]	20	22	34	32	0.087	0.035	0.037	0.019	0.037	0.087	0.253	0.227	0.011	0.207	0.087	0.027	0.034	0.031	0.041	0.085	0.298	0.265	0.016	0.116	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q91YP2	1	1.0		18.1906090578	704	True	False	False	False
Q9Z2Z9	GFPT2_MOUSE	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 OS=Mus musculus GN=Gfpt2 PE=2 SV=3 - [GFPT2_MOUSE]	20	20	34	40	0.318	0.114	0.102	0.052	0.079	0.055	0.047	0.107	0.012	0.115	0.3	0.09	0.114	0.096	0.102	0.075	0.059	0.048	0.022	0.094	unknown	unknown	unknown	unknown	Cytosol	0.362	unclassified	unclassified	Y										Q9Z2Z9	1	1.0		52.002287577	682	False	False	False	False
P09803	CADH1_MOUSE	Cadherin-1 OS=Mus musculus GN=Cdh1 PE=1 SV=1 - [CADH1_MOUSE]	20	19	32	34	0.003	0.203	0.206	0.121	0.237	0.104	0.045	0.045	0.008	0.028	0.004	0.114	0.138	0.183	0.257	0.164	0.097	0.03	0.007	0.006	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	1.0	Plasma membrane	Plasma membrane	N				Adherens junction	Canonical Wnt					P09803	1	1.0		70.90612158	884	True	False	False	False
Q8VDM4	PSMD2_MOUSE	26S proteasome non-ATPase regulatory subunit 2 OS=Mus musculus GN=Psmd2 PE=1 SV=1 - [PSMD2_MOUSE]	20	26	32	40	0.626	0.067	0.084	0.029	0.048	0.038	0.02	0.03	0.02	0.038	0.504	0.082	0.105	0.07	0.074	0.054	0.03	0.019	0.02	0.043	Proteasome	Proteasome	Proteasome	Proteasome	Proteasome	1.0	Proteasome	Proteasome	N										Q8VDM4	2	0.824972115582	0.212162182348	95.7755256355	908	True	True	True	False
P46664	PURA2_MOUSE	Adenylosuccinate synthetase isozyme 2 OS=Mus musculus GN=Adss PE=1 SV=2 - [PURA2_MOUSE]	20	15	31	21	0.539	0.12	0.12	0.061	0.079	0.041	0.014	0.012	0.005	0.01	0.42	0.125	0.117	0.1	0.115	0.056	0.03	0.012	0.013	0.013	unknown	Phenotype 5	Cytosol	Cytosol	Cytosol	1.0	Cytosol	Cytosol	N									High Confidence	P46664	1	1.0		100.577216701	456	True	False	False	False
Q8BHB4	WDR3_MOUSE	WD repeat-containing protein 3 OS=Mus musculus GN=Wdr3 PE=2 SV=1 - [WDR3_MOUSE]	20	17	31	28	0.123	0.008	0.017	0.006	0.014	0.023	0.054	0.224	0.308	0.223	0.081	0.013	0.024	0.027	0.034	0.035	0.045	0.054	0.365	0.323	unknown	Phenotype 2	Nucleus - Non-chromatin	Nucleus - Non-chromatin	Nucleus - Non-chromatin	1.0	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										Q8BHB4	1	1.0		53.766034455	942	True	False	False	False
Q9DBC7	KAP0_MOUSE	cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Mus musculus GN=Prkar1a PE=1 SV=3 - [KAP0_MOUSE]	20	12	30	21	0.03	0.34	0.196	0.116	0.144	0.089	0.033	0.023	0.012	0.016	0.027	0.224	0.168	0.156	0.17	0.125	0.088	0.021	0.014	0.006	unknown	unknown	unknown	unknown	Plasma membrane	0.818	unclassified	Plasma membrane	N										Q9DBC7	1	1.0		73.1132217545	381	True	False	False	False
Q9EPE9	AT131_MOUSE	Probable cation-transporting ATPase 13A1 OS=Mus musculus GN=Atp13a1 PE=1 SV=2 - [AT131_MOUSE]	20	25	29	36	0.0	0.047	0.06	0.041	0.137	0.225	0.135	0.165	0.051	0.137	0.001	0.064	0.084	0.124	0.185	0.209	0.164	0.087	0.059	0.024	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.954	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q9EPE9	1	1.0		19.2199969225	1200	True	False	False	False
